kelime,aciklama
API ,Uygulamalar arasında iletişimi sağlayan arabirim.
Backend  ,Sunucu tarafı yazılım geliştirme.
Frontend ,Kullanıcı arayüzü geliştirme.
Database ,Veri depolama sistemi.
Algorithm ,Belirli bir problemi çözme adımları.
Cloud Computing ,İnternet üzerinden sunucu ve hizmet kullanımı.
DevOps ,Yazılım geliştirme ve operasyon entegrasyonu.
Agile ,Çevik yazılım geliştirme metodolojisi.
Scrum ,Çevik yazılım yönetim çerçevesi.
Machine Learning ,Verilerden öğrenme ve tahmin yapma.
Deep Learning ,Yapay sinir ağları ile öğrenme.
Data Mining ,Veri madenciliği teknikleri.
SaaS ,Hizmet olarak yazılım.
PaaS ,Hizmet olarak platform.
IaaS ,Hizmet olarak altyapı.
Git ,Sürüm kontrol sistemi.
GitHub ,Kod barındırma platformu.
Bitbucket ,Git tabanlı kod depolama aracı.
Docker ,Konteyner tabanlı sanallaştırma.
Kubernetes ,Konteyner yönetim sistemi.
HTTP ,Web iletişim protokolü.
HTTPS ,Güvenli HTTP protokolü.
Firewall ,Ağ güvenliği duvarı.
Load Balancer ,Trafik dengeleyici.
REST ,Web servis mimarisi.
GraphQL ,API sorgulama dili.
React ,Ön yüz kütüphanesi.
Angular ,Ön yüz geliştirme framework'ü.
Vue.js ,İleri seviye frontend framework'ü.
Node.js ,Sunucu taraflı JavaScript çalıştırma ortamı.
Express.js ,Node.js için web framework'ü.
Django ,Python ile geliştirilen web framework'ü.
Flask ,Python mikro web framework'ü.
TensorFlow ,Makine öğrenimi kütüphanesi.
PyTorch ,Derin öğrenme kütüphanesi.
SQL ,İlişkisel veritabanı sorgulama dili.
NoSQL ,İlişkisel olmayan veritabanları.
ORM ,Nesne-İlişkisel eşleme aracı.
JSON ,Veri taşıma formatı.
XML ,Veri tanımlama dili.
Bootstrap ,Responsive tasarım kütüphanesi.
Selenium ,Web otomasyon test aracı.
Jenkins ,Sürekli entegrasyon aracı.
CI/CD ,Sürekli entegrasyon ve teslimat.
Microservices ,Mikro servis mimarisi.
Monolithic Architecture ,Tek parça yazılım mimarisi.
Authentication ,Kimlik doğrulama.
Authorization ,Yetkilendirme.
Token ,Kimlik doğrulama verisi.
JWT ,JSON Web Token kimlik doğrulama.
Algoritma, belirli bir sorunu çözmek için tasarlanmış bir dizi talimat veya kuraldır.
Program,Bir bilgisayar programı yürütüldüğünde belirli bir görevi veya işlevi yerine getiren organize bir talimatlar topluluğu olarak adlandırılır.
ASCII, American Standard Code for Information Interexchange (ASCII) 8 bitlik kodda bulunan harfler sayılar ve diğer karakterlere farklı yuvalar atayan bir standarttır.
Boolean, Boolean ifadesi veya Boolean mantığı DOĞRU veya YANLIŞ olan ifadeler oluşturmak için kullanılan bir ifadedir.
Bug, Donanım veya yazılımda arızaya neden olan beklenmeyen bir hatayı veya kusuru belirtmek için kullanılan genel bir terimdir.
Kod, Kod veya kaynak kodu Java/ C veya Python gibi belirli bir dilin protokolleri kullanılarak yazılmış yazılı bir dizi talimatı tanımlamak için kullanılan bir terimdir.
Dizi, Diziler/gruplandırılmış benzer türde veri değerlerinin listeleri veya gruplarıdır.
Nesne Yönelimi, Nesne yönelimli programlama (OOP)/ ‘eylemler’ ve ‘mantık’ yerine nesneler ve veriler etrafında dönen programcılar tarafından tanımlanan bir modeldir.
Natural Language Processing (NLP), Bilgisayarların insan dilini anlaması işlemesi ve üretmesi üzerine çalışan yapay zeka alanıdır.
Tokenization, Metni küçük parçalara (kelime/ cümle veya karakter gibi) bölme işlemidir.
Lemmatization, Bir kelimeyi kök ya da sözlük formuna indirgeme işlemidir.
Stemming, Kelimelerin son eklerini keserek kök forma indirgeme tekniğidir.
Named Entity Recognition (NER), Metin içinde kişi/ yer/ kuruluş gibi özel isimleri otomatik olarak tanımlama yöntemidir.
Part-of-Speech Tagging (POS Tagging), Cümledeki her kelimeye ait dil bilgisel türün (isim/ fiil/ sıfat gibi) belirlenmesi işlemidir.
Sentiment Analysis, Metinlerdeki duygu (olumlu / olumsuz/ nötr) analizinin yapılmasıdır.
Bag of Words (BoW), Metni kelime sıklıklarına göre sayısal vektörlere dönüştüren basit bir metin temsil yöntemidir.
TF-IDF, Bir kelimenin bir belgede ne kadar önemli olduğunu ölçen ağırlıklı kelime temsil yöntemidir.
Word Embedding, Kelimeleri bağlamlarına göre çok boyutlu sayısal vektörlere dönüştürme tekniğidir.
Transformer, Dönüştürücü katmanlar kullanarak metni işleyen ve dil modellerinin temelini oluşturan derin öğrenme mimarisidir.
BERT, Google tarafından geliştirilen cümle içi bağlamı anlayabilen güçlü bir dil modelidir.
GPT, Büyük miktarda metin üzerinde eğitilerek insan benzeri metinler üretebilen jeneratif ön eğitimli dil modelidir.
Text Classification, Metinleri belirli kategorilere otomatik olarak ayırma işlemidir.
Language Modeling, Dilin yapısını öğrenerek anlamlı metinler üretmek ya da eksik kelimeleri tahmin etmek için geliştirilen modelleme tekniğidir.
Neural Network, İnsan beynindeki sinir hücrelerinden esinlenilerek geliştirilen veri öğrenme ve karar verme temelli yapay ağlardır.
Artificial Neural Network (ANN), Girdi gizli ve çıktı katmanlarından oluşan temel yapay sinir ağı modelidir.
Convolutional Neural Network (CNN), Görüntü tanıma gibi alanlarda kullanılan uzamsal veriyi işleyen özel sinir ağı türüdür.
Recurrent Neural Network (RNN), Zaman serisi veya dil modeli gibi sıralı verilerle çalışmak için geliştirilmiş sinir ağıdır.
Long Short-Term Memory (LSTM), RNN’lerin uzun vadeli bağıntıları hatırlamasını sağlayan özel bir yapay sinir ağı çeşididir.
GRU (Gated Recurrent Unit), LSTM'e benzer ama daha sade yapıya sahip sıralı verilerle çalışan sinir ağıdır.
Autoencoder, Veriyi sıkıştırarak anlamlı temsiller çıkaran ve tekrar geri üreten sinir ağı mimarisidir.
Generative Adversarial Network (GAN), Biri üreten diğeri değerlendiren iki ağın rekabetiyle yeni veri üretebilen modeldir.
Activation Function, Sinir ağlarında düğüm çıktısını belirleyen ve modele doğrusal olmayanlık katan matematiksel fonksiyondur.
ReLU (Rectified Linear Unit), Derin öğrenmede yaygın olarak kullanılan negatif değerleri sıfıra indirgeyen aktivasyon fonksiyonudur.
Dropout, Ağırlıkların aşırı uyumunu önlemek için eğitim sırasında bazı nöronların rastgele devre dışı bırakılmasıdır.
Batch Normalization, Sinir ağı katmanlarının girişlerini standartlaştırarak öğrenmeyi hızlandıran tekniktir.
Epoch, Modelin tüm eğitim verisi üzerinde bir tam geçiş yapmasıdır.
Loss Function, Modelin tahmini ile gerçek değer arasındaki farkı ölçen fonksiyondur.
Backpropagation, Hata oranına göre ağırlıkları güncelleyerek modelin öğrenmesini sağlayan algoritmadır.
Gradient Descent, Hata fonksiyonunu minimize etmek için model ağırlıklarını güncelleyen optimizasyon yöntemidir.
Overfitting, Modelin eğitim verisine aşırı uyum sağlayarak yeni veride düşük performans göstermesidir.
Underfitting, Modelin hem eğitim hem test verisinde kötü performans göstererek öğrenememesi durumudur.
Learning Rate, Modelin her adımda ne kadar öğrenme yapacağını belirleyen parametredir.
Programlama Dili, Bilgisayarlara ne yapacaklarını anlatmak için kullanılan özel komutlar bütünüdür.
Kodlama, Bir problemi çözmek için bilgisayar dilinde talimatlar yazma sürecidir.
Script, Genellikle otomasyon veya küçük işlemler için yazılan basit program parçalarıdır.
Sunucu (Server), Diğer bilgisayarlara veri veya hizmet sağlayan güçlü bilgisayardır.
İstemci (Client), Sunucudan veri veya hizmet alan kullanıcı tarafındaki sistemdir.
IP Adresi, Bilgisayarların internette birbirlerini tanıyabilmesi için verilen benzersiz numaradır.
Domain, Web sitelerinin internetteki okunabilir adıdır (örnek/ google.com).
Hosting, Web sitelerinin dosyalarının internet üzerinde barındırılması hizmetidir.
Browser (Tarayıcı), İnternette web sitelerini görüntülemek için kullanılan yazılımdır (örnek/ Chrome/ Firefox).
Cookie (Çerez), Web sitelerinin kullanıcı bilgilerini geçici olarak saklamasını sağlayan küçük veri parçalarıdır.
Debug (Hata Ayıklama), Programdaki hataları bulup düzeltme işlemidir.
Frontend Developer, Web sitelerinin kullanıcıya görünen kısmını geliştiren yazılımcıdır.
Backend Developer, Web sitelerinin arka planında çalışan veri ve sunucu işlemlerini geliştiren yazılımcıdır.
Full Stack Developer, Hem frontend hem de backend geliştirme yapabilen yazılım geliştiricisidir.
HTML, Web sayfalarının iskeletini oluşturan işaretleme dilidir.
CSS, Web sayfalarının tasarım ve stil ayarlarını yapan dildir.
JavaScript, Web sayfalarına hareket ve etkileşim kazandırmak için kullanılan programlama dilidir.
PHP, Sunucu tarafında çalışan ve web geliştirmede sıkça kullanılan bir programlama dilidir.
